time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1737,0,0,1,10000011001,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,-196,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0, 
1738,0,0,1,10000100101,0,1,0,0,0,0,1,0,0,1,0,1,0,0,175,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,-90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0, 
1739,0,0,1,10000110001,0,1,0,0,0,0,1,1,0,0,0,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1, 
1740,0,0,1,10000111101,0,1,0,0,0,0,1,1,1,1,0,1,0,0,-189,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,118,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0, 
1741,0,0,1,10001001010,0,1,0,0,0,1,0,0,1,0,1,0,0,0,-130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-71,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1, 
1742,0,0,1,10001010110,0,1,0,0,0,1,0,1,0,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-138,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0, 
1743,0,0,1,10001100010,0,1,0,0,0,1,1,0,0,0,1,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1, 
1744,0,0,1,10001101110,0,1,0,0,0,1,1,0,1,1,1,0,0,0,-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,193,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1, 
1745,0,0,1,10001111010,0,1,0,0,0,1,1,1,1,0,1,0,0,0,-108,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1, 
1746,0,0,1,10010000110,0,1,0,0,1,0,0,0,0,1,1,0,0,0,-62,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,-167,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1, 
1747,0,0,1,10010010010,0,1,0,0,1,0,0,1,0,0,1,0,0,0,187,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-42,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0, 
1748,0,0,1,10010011111,0,1,0,0,1,0,0,1,1,1,1,1,0,0,141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,156,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0, 
1749,0,0,1,10010101011,0,1,0,0,1,0,1,0,1,0,1,1,0,0,-185,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0, 
1750,0,0,1,10010110111,0,1,0,0,1,0,1,1,0,1,1,1,0,0,-114,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,-151,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1, 
1751,0,0,1,10011000011,0,1,0,0,1,1,0,0,0,0,1,1,0,0,189,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,-151,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1, 
1752,0,0,1,10011001111,0,1,0,0,1,1,0,0,1,1,1,1,0,0,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,101,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1, 
1753,0,0,1,10011011010,0,1,0,0,1,1,0,1,1,0,1,0,0,0,-143,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,154,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0, 
1754,0,0,1,10011100110,0,1,0,0,1,1,1,0,0,1,1,0,0,0,-116,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,-92,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0, 
1755,0,0,1,10011110010,0,1,0,0,1,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-159,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1, 
1756,0,0,1,10011111110,0,1,0,0,1,1,1,1,1,1,1,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0, 
1757,0,0,1,10100001010,0,1,0,1,0,0,0,0,1,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0, 
1758,0,0,1,10100010110,0,1,0,1,0,0,0,1,0,1,1,0,0,0,-183,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1, 
1759,0,0,1,10100100001,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-91,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,-122,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0, 
1760,0,0,1,10100101101,0,1,0,1,0,0,1,0,1,1,0,1,0,0,214,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,-91,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1, 
1761,0,0,1,10100111000,0,1,0,1,0,0,1,1,1,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,170,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0, 
1762,0,0,1,10101000100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-165,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,154,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0, 
1763,0,0,1,10101001111,0,1,0,1,0,1,0,0,1,1,1,1,0,0,-85,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1, 
1764,0,0,1,10101011011,0,1,0,1,0,1,0,1,1,0,1,1,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-173,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1, 
1765,0,0,1,10101100110,0,1,0,1,0,1,1,0,0,1,1,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0, 
1766,0,0,1,10101110001,0,1,0,1,0,1,1,1,0,0,0,1,0,0,-36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0, 
1767,0,0,1,10101111101,0,1,0,1,0,1,1,1,1,1,0,1,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-79,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1, 
1768,0,0,1,10110001000,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-34,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-135,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1, 
1769,0,0,1,10110010011,0,1,0,1,1,0,0,1,0,0,1,1,0,0,160,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1, 
1770,0,0,1,10110011110,0,1,0,1,1,0,0,1,1,1,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0, 
1771,0,0,1,10110101001,0,1,0,1,1,0,1,0,1,0,0,1,0,0,-206,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,119,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1, 
1772,0,0,1,10110110100,0,1,0,1,1,0,1,1,0,1,0,0,0,0,-91,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,-143,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1, 
1773,0,0,1,10110111111,0,1,0,1,1,0,1,1,1,1,1,1,0,0,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,-160,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0, 
1774,0,0,1,10111001010,0,1,0,1,1,1,0,0,1,0,1,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,191,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1, 
1775,0,0,1,10111010100,0,1,0,1,1,1,0,1,0,1,0,0,0,0,-104,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,168,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0, 
1776,0,0,1,10111011111,0,1,0,1,1,1,0,1,1,1,1,1,0,0,-121,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,-145,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1, 
1777,0,0,1,10111101010,0,1,0,1,1,1,1,0,1,0,1,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,-115,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1, 
1778,0,0,1,10111110100,0,1,0,1,1,1,1,1,0,1,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1, 
1779,0,0,1,10111111110,0,1,0,1,1,1,1,1,1,1,1,0,0,0,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,101,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1, 
1780,0,0,1,11000001001,0,1,1,0,0,0,0,0,1,0,0,1,0,0,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1, 
1781,0,0,1,11000010011,0,1,1,0,0,0,0,1,0,0,1,1,0,0,-21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,-140,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0, 
1782,0,0,1,11000011101,0,1,1,0,0,0,0,1,1,1,0,1,0,0,163,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,-121,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1, 
1783,0,0,1,11000100111,0,1,1,0,0,0,1,0,0,1,1,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,158,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0, 
1784,0,0,1,11000110001,0,1,1,0,0,0,1,1,0,0,0,1,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1, 
1785,0,0,1,11000111011,0,1,1,0,0,0,1,1,1,0,1,1,0,0,-136,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,-185,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1, 
1786,0,0,1,11001000101,0,1,1,0,0,1,0,0,0,1,0,1,0,0,108,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
1787,0,0,1,11001001111,0,1,1,0,0,1,0,0,1,1,1,1,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,177,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1, 
1788,0,0,1,11001011000,0,1,1,0,0,1,0,1,1,0,0,0,0,0,-103,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0, 
1789,0,0,1,11001100010,0,1,1,0,0,1,1,0,0,0,1,0,0,0,-185,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,-79,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1, 
1790,0,0,1,11001101011,0,1,1,0,0,1,1,0,1,0,1,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, 
1791,0,0,1,11001110101,0,1,1,0,0,1,1,1,0,1,0,1,0,0,179,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
1792,0,0,1,11001111110,0,1,1,0,0,1,1,1,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,144,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0, 
1793,0,0,1,11010000111,0,1,1,0,1,0,0,0,0,1,1,1,0,0,-127,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0, 
1794,0,0,1,11010010000,0,1,1,0,1,0,0,1,0,0,0,0,0,0,-47,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,-190,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0, 
1795,0,0,1,11010011001,0,1,1,0,1,0,0,1,1,0,0,1,0,0,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0, 
1796,0,0,1,11010100010,0,1,1,0,1,0,1,0,0,0,1,0,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0, 
1797,0,0,1,11010101011,0,1,1,0,1,0,1,0,1,0,1,1,0,0,-138,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0, 
1798,0,0,1,11010110011,0,1,1,0,1,0,1,1,0,0,1,1,0,0,-184,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,-169,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1, 
1799,0,0,1,11010111100,0,1,1,0,1,0,1,1,1,1,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-120,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0, 
1800,0,0,1,11010110100,0,1,1,0,1,0,1,1,0,1,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0, 
1801,0,0,1,11011001100,0,1,1,0,1,1,0,0,1,1,0,0,0,0,-123,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,149,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1, 
1802,0,0,1,11011010101,0,1,1,0,1,1,0,1,0,1,0,1,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
1803,0,0,1,11011011101,0,1,1,0,1,1,0,1,1,1,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-143,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1, 
1804,0,0,1,11011100101,0,1,1,0,1,1,1,0,0,1,0,1,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,-30,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0, 
1805,0,0,1,11011101101,0,1,1,0,1,1,1,0,1,1,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,196,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0, 
1806,0,0,1,11011110100,0,1,1,0,1,1,1,1,0,1,0,0,0,0,-109,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,89,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1, 
1807,0,0,1,11011111100,0,1,1,0,1,1,1,1,1,1,0,0,0,0,-119,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,-174,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0, 
1808,0,0,1,11100000011,0,1,1,1,0,0,0,0,0,0,1,1,0,0,164,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1, 
1809,0,0,1,11100001011,0,1,1,1,0,0,0,0,1,0,1,1,0,0,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1, 
1810,0,0,1,11100010010,0,1,1,1,0,0,0,1,0,0,1,0,0,0,-154,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,110,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0, 
1811,0,0,1,11100011001,0,1,1,1,0,0,0,1,1,0,0,1,0,0,-162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,-108,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0, 
1812,0,0,1,11100100000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-170,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0, 
1813,0,0,1,11100100111,0,1,1,1,0,0,1,0,0,1,1,1,0,0,-6167,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,-12323,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1, 
1814,0,0,1,11100101110,0,1,1,1,0,0,1,0,1,1,1,0,0,1,-65,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,167,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1, 
1815,0,0,1,11100110100,0,1,1,1,0,0,1,1,0,1,0,0,1,0,-25221,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1816,0,0,1,11100111011,0,1,1,1,0,0,1,1,1,0,1,1,0,0,-65,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-166,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0, 
1817,0,0,1,11101000001,0,1,1,1,0,1,0,0,0,0,0,1,0,0,-6156,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,12315,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1, 
1818,0,0,1,11101000111,0,1,1,1,0,1,0,0,0,1,1,1,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1, 
1819,0,0,1,11101001110,0,1,1,1,0,1,0,0,1,1,1,0,0,0,-162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,108,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0, 
1820,0,0,1,11101010100,0,1,1,1,0,1,0,1,0,1,0,0,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-111,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1, 
1821,0,0,1,11101011001,0,1,1,1,0,1,0,1,1,0,0,1,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,-123,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1, 
1822,0,0,1,11101011111,0,1,1,1,0,1,0,1,1,1,1,1,0,0,162,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,106,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0, 
1823,0,0,1,11101100101,0,1,1,1,0,1,1,0,0,1,0,1,0,0,-120,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1, 
1824,0,0,1,11101101010,0,1,1,1,0,1,1,0,1,0,1,0,0,0,-108,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1, 
1825,0,0,1,11101101111,0,1,1,1,0,1,1,0,1,1,1,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-189,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1, 
1826,0,0,1,11101110101,0,1,1,1,0,1,1,1,0,1,0,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1, 
1827,0,0,1,11101111010,0,1,1,1,0,1,1,1,1,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1, 
1828,0,0,1,11101111111,0,1,1,1,0,1,1,1,1,1,1,1,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1829,0,0,1,11110000011,0,1,1,1,1,0,0,0,0,0,1,1,0,0,-123,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0, 
1830,0,0,1,11110001000,0,1,1,1,1,0,0,0,1,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1, 
1831,0,0,1,11110001100,0,1,1,1,1,0,0,0,1,1,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,120,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0, 
1832,0,0,1,11110010001,0,1,1,1,1,0,0,1,0,0,0,1,0,0,-183,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,170,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0, 
1833,0,0,1,11110010101,0,1,1,1,1,0,0,1,0,1,0,1,0,0,-150,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,-139,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1, 
1834,0,0,1,11110011001,0,1,1,1,1,0,0,1,1,0,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-174,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0, 
1835,0,0,1,11110011101,0,1,1,1,1,0,0,1,1,1,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1, 
1836,0,0,1,11110100001,0,1,1,1,1,0,1,0,0,0,0,1,0,0,-48,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1, 
1837,0,0,1,11110100100,0,1,1,1,1,0,1,0,0,1,0,0,0,0,-130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-85,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1, 
1838,0,0,1,11110101000,0,1,1,1,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0, 
1839,0,0,1,11110101011,0,1,1,1,1,0,1,0,1,0,1,1,0,0,179,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1840,0,0,1,11110101110,0,1,1,1,1,0,1,0,1,1,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0, 
